Lab_ID,Site,Wet/Dry Season,Mainstem_Tributary,Salmonella (Presence/Absence),Stx2 (Presence/Absence)
PC13,Burbank,Dry,Mainstem,A,P
PC26,Burbank,Dry,Mainstem,P,P
PC29,Burbank,Wet,Mainstem,A,P
PC55,Burbank,Wet,Mainstem,P,A
PC68,Burbank,Wet,Mainstem,A,P
PC83,Burbank,Wet,Mainstem,P,P
PC96,Burbank,Wet,Mainstem,A,P
PC110,Burbank,Wet,Mainstem,A,A
PC112,Burbank,Wet,Mainstem,A,P
PC140,Burbank,Wet,Mainstem,P,P
PC154,Burbank,Wet,Mainstem,P,A
PC169,Burbank,Wet,Mainstem,P,P
PC184,Burbank,Wet,Mainstem,P,A
PC198,Burbank,Wet,Mainstem,P,P
PC216,Burbank,Dry,Mainstem,A,A
PC229,Burbank,Dry,Mainstem,A,P
PC232,Burbank,Dry,Mainstem,P,A
PC257,Burbank,Dry,Mainstem,P,P
PC269,Burbank,Dry,Mainstem,P,P
PC281,Burbank,Dry,Mainstem,A,A
PC293,Burbank,Dry,Mainstem,A,P
PC308,Burbank,Dry,Mainstem,A,P
PC320,Burbank,Dry,Mainstem,A,P
PC332,Burbank,Dry,Mainstem,A,P
PC344,Burbank,Dry,Mainstem,A,A
PC356,Burbank,Dry,Mainstem,A,A
PC368,Burbank,Dry,Mainstem,A,P
PC381,Burbank,Wet,Mainstem,P,P
PC384,Burbank,Wet,Mainstem,P,P
PC413,Burbank,Wet,Mainstem,P,P
PC426,Burbank,Wet,Mainstem,A,P
PC439,Burbank,Wet,Mainstem,A,P
PC454,Burbank,Wet,Mainstem,A,P
PC483,Burbank,Wet,Mainstem,A,A
PC500,Burbank,Wet,Mainstem,A,P
PC513,Burbank,Wet,Mainstem,P,P
PC527,Burbank,Wet,Mainstem,A,A
PC541,Burbank,Wet,Mainstem,P,A
PC544,Burbank,Dry,Mainstem,P,P
PC573,Burbank,Dry,Mainstem,P,P
PC12,Greensferry,Dry,Tributary,A,A
PC25,Greensferry,Dry,Tributary,A,A
PC35,Greensferry,Wet,Tributary,A,A
PC54,Greensferry,Wet,Tributary,A,A
PC66,Greensferry,Wet,Tributary,A,A
PC70,Greensferry,Wet,Tributary,A,A
PC82,Greensferry,Wet,Tributary,A,A
PC95,Greensferry,Wet,Tributary,A,A
PC109,Greensferry,Wet,Tributary,A,P
PC113,Greensferry,Wet,Tributary,A,A
PC139,Greensferry,Wet,Tributary,A,A
PC153,Greensferry,Wet,Tributary,A,P
PC168,Greensferry,Wet,Tributary,P,A
PC183,Greensferry,Wet,Tributary,A,A
PC197,Greensferry,Wet,Tributary,A,A
PC215,Greensferry,Dry,Tributary,A,A
PC228,Greensferry,Dry,Tributary,A,P
PC237,Greensferry,Dry,Tributary,A,P
PC256,Greensferry,Dry,Tributary,A,P
PC268,Greensferry,Dry,Tributary,A,A
PC280,Greensferry,Dry,Tributary,A,A
PC292,Greensferry,Dry,Tributary,A,A
PC300,Greensferry,Dry,Tributary,A,A
PC319,Greensferry,Dry,Tributary,A,A
PC331,Greensferry,Dry,Tributary,A,A
PC343,Greensferry,Dry,Tributary,A,A
PC355,Greensferry,Dry,Tributary,P,A
PC367,Greensferry,Dry,Tributary,A,A
PC380,Greensferry,Wet,Tributary,A,P
PC390,Greensferry,Wet,Tributary,A,A
PC412,Greensferry,Wet,Tributary,P,P
PC425,Greensferry,Wet,Tributary,A,A
PC438,Greensferry,Wet,Tributary,A,A
PC453,Greensferry,Wet,Tributary,A,P
PC482,Greensferry,Wet,Tributary,A,A
PC491,Greensferry,Wet,Tributary,A,A
PC512,Greensferry,Wet,Tributary,A,A
PC526,Greensferry,Wet,Tributary,A,A
PC540,Greensferry,Wet,Tributary,P,A
PC550,Greensferry,Dry,Tributary,A,A
PC572,Greensferry,Dry,Tributary,A,A
PC7,Grove Park,Dry,Tributary,P,P
PC21,Grove Park,Dry,Tributary,A,A
PC30,Grove Park,Wet,Tributary,A,P
PC50,Grove Park,Wet,Tributary,A,P
PC63,Grove Park,Wet,Tributary,P,P
PC77,Grove Park,Wet,Tributary,P,P
PC91,Grove Park,Wet,Tributary,A,A
